date,air_temp,shortwave_rad,precip,vpd,gpp
2000-03-19,2.625,75.5,0.0,0.06639966565351618,3.4590719
2000-03-20,3.9375,136.375,0.0,0.16693061357102001,4.408184
2000-03-21,6.4375,189.5,0.0,0.3147461035069481,3.5997913
2000-03-22,9.0625,192.5,0.0,0.4605082148530152,3.469857
2000-03-23,10.3125,151.3125,0.0,0.5210968166825068,3.5496328
2000-03-24,8.125,56.375,19.75,0.11683576826929687,1.0312
2000-03-25,7.6875,72.625,12.5625,0.11668983735184768,1.6357137
2000-03-26,4.875,162.375,4.3125,0.10964404661863314,2.6093514
2000-03-27,4.4375,132.875,5.25,0.1089669007851346,1.8587521
2000-03-28,2.5625,116.6875,0.0,0.07436909946431647,1.5761873
2000-03-29,4.0,81.1875,0.75,0.0924693820487934,2.0353844
2000-03-30,4.5625,32.875,15.5,0.020610502477297343,1.1034597
2000-03-31,4.25,59.875,5.25,0.04550065891781385,2.8221042
2000-04-01,4.1875,130.25,2.625,0.08030802447039387,2.8895159
2000-04-02,8.125,173.875,1.4375,0.3005313114441449,5.090137
2000-04-03,9.625,157.0,0.375,0.34374297514308194,3.961171
2000-04-04,8.375,173.25,5.0,0.18820929299500166,5.588961
2000-04-05,3.5625,95.75,0.875,0.11233356066753175,2.4445965
2000-04-06,2.75,238.4375,0.0,0.2898279696377864,5.8114657
2000-04-07,5.25,220.4375,0.0,0.3259815031169617,5.985657
2000-04-08,6.875,216.4375,0.0,0.39938415449512565,5.804373
2000-04-09,8.75,208.125,0.0,0.47133576749238093,5.9518886
2000-04-10,6.625,203.5,0.0625,0.29627281685842266,6.2467556
2000-04-11,7.0,186.25,3.75,0.36341280329081815,5.02701
2000-04-12,3.875,193.625,6.9375,0.12389439962750082,4.3275466
2000-04-13,4.25,166.6875,15.6875,0.11013227669879933,3.0951173
2000-04-14,5.6875,143.3125,6.5625,0.13257903311814556,3.9335535
2000-04-15,6.9375,176.8125,7.0625,0.16317975744855573,4.4892983
2000-04-16,7.0,198.4375,0.3125,0.23831373159002023,4.320313
2000-04-17,8.5625,174.75,7.0625,0.22539615484889708,4.3280697
2000-04-18,8.5,125.75,0.0,0.2563109332588537,4.968644
2000-04-19,9.4375,199.875,0.375,0.25310771437417134,4.4647136
2000-04-20,11.375,238.375,0.0,0.4181395632957783,5.322552
2000-04-21,12.875,196.875,0.0625,0.4957696948964273,5.4876313
2000-04-22,14.25,169.3125,1.5,0.4752533367989671,5.420364
2000-04-23,11.5,108.25,10.3125,0.10497899307312597,4.266149
2000-04-24,9.4375,154.875,3.25,0.19407384513238213,5.6041603
2000-04-25,11.875,235.8125,0.0,0.4165500983522308,7.052427
2000-04-26,14.625,236.5,0.0,0.5055898477454814,7.622516
2000-04-27,15.8125,197.75,0.4375,0.4313533149375903,9.683728
2000-04-28,15.125,170.625,0.1875,0.3184205260395616,8.893228
2000-04-29,10.75,43.875,2.5625,0.07491656567779992,2.6309996
